codigo,titulo,categoria,paginas
QA76.6-PY01,Introducción a Python,Programación,320
QA76.6-ED01,Estructuras de Datos,Programación,450
QA76.6-AL01,Algoritmos y Complejidad,Programación,510
QA76.9-BD01,Bases de Datos Relacionales,Bases de Datos,380
TK5105-RD01,Fundamentos de Redes,Redes,290
QA76.76-SO01,Sistemas Operativos,Sistemas,420
QA76.758-IS01,Ingeniería de Software,Ingeniería de Software,360
TK5105-WEB01,Desarrollo Web Moderno,Desarrollo Web,340
Q335-IA01,Inteligencia Artificial Aplicada,Inteligencia Artificial,470
QA76.9-CS01,Ciberseguridad Básica,Seguridad Informática,310
